time,province,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-04-02,云南,39.02,0.79,15.78,69.02,35.79,22.3,9.59
2017-04-02,内蒙古,58.48,0.82,33.08,75.28,64.71,29.89,23.03
2017-04-02,北京,91.73,1.07,70.94,49.0,111.14,67.04,13.3
2017-04-02,吉林,104.88,1.35,38.68,75.8,118.97,72.87,23.99
2017-04-02,四川,70.56,0.79,38.93,57.32,81.01,45.2,19.56
2017-04-02,天津,123.94,1.61,87.33,50.88,139.03,90.56,36.45
2017-04-02,宁夏,67.16,0.89,39.57,81.53,80.51,35.98,33.11
2017-04-02,安徽,96.19,0.92,46.09,83.91,104.92,68.57,19.12
2017-04-02,山东,103.59,1.09,43.86,86.56,127.5,70.85,28.27
2017-04-02,山西,79.74,1.46,47.23,69.48,103.99,42.66,55.18
2017-04-02,广东,64.43,0.81,37.43,97.88,63.86,40.8,13.71
2017-04-02,广西,69.85,0.9,28.16,75.39,75.87,47.69,17.75
2017-04-02,新疆,87.57,0.95,26.58,70.32,110.69,45.84,12.56
2017-04-02,江苏,99.25,1.07,55.32,83.19,115.83,71.18,23.7
2017-04-02,江西,73.37,0.84,30.78,81.93,81.87,49.37,25.62
2017-04-02,河北,101.31,1.43,62.14,63.96,133.33,67.72,45.16
2017-04-02,河南,84.67,1.25,45.73,77.92,106.7,52.94,33.67
2017-04-02,浙江,83.77,0.86,44.82,76.01,91.25,58.14,17.01
2017-04-02,海南,46.7,0.58,6.86,130.5,43.42,23.6,5.11
2017-04-02,湖北,77.38,1.15,38.01,78.87,85.95,53.16,17.54
2017-04-02,湖南,69.02,0.96,32.58,75.32,76.82,43.8,18.93
2017-04-02,甘肃,65.31,0.75,32.34,79.27,77.49,33.49,20.71
2017-04-02,福建,63.64,0.74,31.31,88.42,66.41,40.65,11.67
2017-04-02,西藏,45.79,0.67,13.98,81.52,54.27,17.54,10.16
2017-04-02,贵州,56.0,0.7,30.77,68.09,63.9,30.11,15.78
2017-04-02,辽宁,77.34,1.09,41.18,73.33,90.11,49.96,28.34
2017-04-02,重庆,61.2,0.83,56.16,57.8,71.89,34.15,18.37
2017-04-02,陕西,72.69,1.11,53.5,52.43,92.37,40.65,23.59
2017-04-02,青海,61.43,1.06,22.13,91.42,74.35,30.71,21.35
2017-04-02,黑龙江,74.59,0.69,22.04,80.37,82.99,46.25,14.02
2017-04-03,上海,89.19,0.73,43.79,122.69,73.23,64.53,12.84
2017-04-03,云南,45.13,0.74,13.62,87.5,39.07,25.47,9.28
2017-04-03,内蒙古,69.74,0.9,33.47,86.03,86.15,39.29,28.02
2017-04-03,北京,160.33,1.27,77.13,73.44,168.52,122.75,20.24
2017-04-03,吉林,106.3,1.4,42.68,73.8,125.53,74.81,26.94
2017-04-03,四川,59.77,0.7,26.7,63.61,60.42,38.79,13.82
2017-04-03,天津,157.71,1.68,83.7,86.76,163.35,118.49,37.64
2017-04-03,宁夏,68.31,0.84,33.68,75.61,79.33,38.81,28.23
2017-04-03,安徽,78.52,0.78,40.18,94.22,91.13,52.04,20.53
2017-04-03,山东,100.97,1.08,43.19,105.29,129.12,70.25,30.22
2017-04-03,山西,99.78,1.45,48.81,80.09,138.74,61.89,56.05
2017-04-03,广东,71.43,0.78,31.7,111.55,70.83,48.53,12.66
2017-04-03,广西,77.9,0.85,22.39,99.41,78.67,54.93,19.05
2017-04-03,新疆,70.85,0.8,25.48,65.27,91.81,34.03,12.12
2017-04-03,江苏,86.2,0.91,44.89,105.73,95.61,55.14,21.35
2017-04-03,江西,80.41,0.89,37.98,73.06,95.97,55.45,39.06
2017-04-03,河北,146.87,1.62,66.31,82.32,191.57,106.21,50.92
2017-04-03,河南,88.41,1.21,44.58,82.99,111.63,59.02,30.52
2017-04-03,浙江,78.28,0.77,41.36,90.93,84.94,51.38,16.75
2017-04-03,海南,47.96,0.51,5.61,116.77,48.44,24.89,4.01
2017-04-03,湖北,80.15,1.28,40.52,67.64,92.04,56.06,21.97
